time,AM,SINE
0.0001665,2.81972,-1.48995
0.000167,2.89105,-1.51964
0.0001675,2.96064,-1.54791
0.000168,3.02844,-1.57473
0.0001685,3.09439,-1.60006
0.000169,3.15842,-1.62388
0.0001695,3.22047,-1.64614
0.00017,3.28048,-1.66683
0.0001705,3.33841,-1.68592
0.000171,3.3942,-1.70338
0.0001715,3.4478,-1.71919
0.000172,3.49915,-1.73333
0.0001725,3.54822,-1.74577
0.000173,3.59495,-1.7565
0.0001735,3.63931,-1.76551
0.000174,3.68125,-1.77277
0.0001745,3.72074,-1.77827
0.000175,3.75774,-1.78201
0.0001755,3.79221,-1.78398
0.000176,3.82412,-1.78416
0.0001765,3.85345,-1.78255
0.000177,3.88016,-1.77914
0.0001775,3.90424,-1.77394
0.000178,3.92566,-1.76695
0.0001785,3.9444,-1.75816
0.000179,3.96045,-1.74758
0.0001795,3.97378,-1.73522
0.00018,3.9844,-1.72108
0.0001805,3.99227,-1.70518
0.000181,3.99741,-1.68752
0.0001815,3.99981,-1.66811
0.000182,3.99946,-1.64698
0.0001825,3.99636,-1.62413
0.000183,3.99052,-1.5996
0.0001835,3.98194,-1.57339
0.000184,3.97063,-1.54553
0.0001845,3.9566,-1.51604
0.000185,3.93987,-1.48496
0.0001855,3.92044,-1.4523
0.000186,3.89834,-1.4181
0.0001865,3.87358,-1.38239
0.000187,3.84619,-1.3452
0.0001875,3.8162,-1.30656
0.000188,3.78363,-1.26652
0.0001885,3.74851,-1.2251
0.000189,3.71087,-1.18235
0.0001895,3.67076,-1.13831
0.00019,3.62819,-1.09302
0.0001905,3.58322,-1.04652
0.000191,3.53589,-0.998857
0.0001915,3.48623,-0.95008
0.000192,3.4343,-0.900233
0.0001925,3.38014,-0.849365
0.000193,3.3238,-0.797527
0.0001935,3.26533,-0.744769
0.000194,3.20478,-0.691142
0.0001945,3.14222,-0.6367
0.000195,3.0777,-0.581496
0.0001955,3.01127,-0.525586
0.000196,2.94301,-0.469024
0.0001965,2.87296,-0.411868
0.000197,2.8012,-0.354174
0.0001975,2.72779,-0.296001
0.000198,2.6528,-0.237406
0.0001985,2.57629,-0.178449
0.000199,2.49835,-0.119188
0.0001995,2.41903,-0.0596855
0.0002,2.33841,1.91662e-13
0.0002005,2.25656,0.0598075
0.000201,2.17357,0.119676
0.0002015,2.0895,0.179545
0.000202,2.00443,0.239353
0.0002025,1.91844,0.299038
0.000203,1.83161,0.35854
0.0002035,1.74402,0.417797
0.000204,1.65575,0.476749
0.0002045,1.56688,0.535335
0.000205,1.47749,0.593494
0.0002055,1.38767,0.651166
0.000206,1.29748,0.708292
0.0002065,1.20703,0.764812
0.000207,1.11639,0.820667
0.0002075,1.02564,0.8758
0.000208,0.934861,0.930152
0.0002085,0.844147,0.983668
0.000209,0.753575,1.03629
0.0002095,0.663229,1.08797
0.00021,0.573191,1.13864
0.0002105,0.483544,1.18825
0.000211,0.39437,1.23676
0.0002115,0.305751,1.28411
0.000212,0.217767,1.33026
0.0002125,0.130499,1.37514
0.000213,0.0440273,1.41872
0.0002135,-0.0415691,1.46094
0.000214,-0.126212,1.50177
0.0002145,-0.209823,1.54116
0.000215,-0.292327,1.57907
0.0002155,-0.373648,1.61545
0.000216,-0.453711,1.65027
0.0002165,-0.532443,1.68349
0.000217,-0.609772,1.71507
0.0002175,-0.685626,1.74499
0.000218,-0.759938,1.7732
0.0002185,-0.832638,1.79968
0.000219,-0.903661,1.82439
0.0002195,-0.97294,1.84731
0.00022,-1.04041,1.86842
0.0002205,-1.10602,1.88769
0.000221,-1.16969,1.9051
0.0002215,-1.23138,1.92062
0.000222,-1.29103,1.93425
0.0002225,-1.34858,1.94596
0.000223,-1.40398,1.95574
0.0002235,-1.45718,1.96359
0.000224,-1.50813,1.96948
0.0002245,-1.55678,1.97341
0.000225,-1.60309,1.97538
0.0002255,-1.64702,1.97537
0.000226,-1.68852,1.9734
0.0002265,-1.72756,1.96946
0.000227,-1.76411,1.96355
0.0002275,-1.79812,1.95567
0.000228,-1.82957,1.94584
0.0002285,-1.85843,1.93405
0.000229,-1.88468,1.92033
0.0002295,-1.90828,1.90468
0.00023,-1.92922,1.88711
0.0002305,-1.94748,1.86766
0.000231,-1.96304,1.84632
0.0002315,-1.97589,1.82312
0.000232,-1.98601,1.79809
0.0002325,-1.9934,1.77125
0.000233,-1.99805,1.74262
0.0002335,-1.99995,1.71224
0.000234,-1.9991,1.68013
0.0002345,-1.99551,1.64632
0.000235,-1.98918,1.61085
0.0002355,-1.98011,1.57376
0.000236,-1.96831,1.53507
0.0002365,-1.9538,1.49483
0.000237,-1.93658,1.45308
0.0002375,-1.91667,1.40985
0.000238,-1.89409,1.3652
0.0002385,-1.86886,1.31917
0.000239,-1.841,1.2718
0.0002395,-1.81055,1.22315
0.00024,-1.77752,1.17325
0.0002405,-1.74194,1.12216
0.000241,-1.70386,1.06994
0.0002415,-1.6633,1.01663
0.000242,-1.6203,0.96229
0.0002425,-1.5749,0.906973
0.000243,-1.52715,0.850735
0.0002435,-1.47708,0.793633
0.000244,-1.42474,0.735726
0.0002445,-1.37019,0.677071
0.000245,-1.31346,0.617729
0.0002455,-1.25462,0.557759
0.000246,-1.19371,0.497223
0.0002465,-1.13079,0.436181
0.000247,-1.06592,0.374696
0.0002475,-0.99916,0.31283
0.000248,-0.93057,0.250647
0.0002485,-0.860211,0.188208
0.000249,-0.78815,0.125579
0.0002495,-0.714451,0.0628212
0.00025,-0.639183,-3.54047e-13
0.0002505,-0.562414,-0.0628212
0.000251,-0.484214,-0.125579
0.0002515,-0.404656,-0.188208
0.000252,-0.323811,-0.250647
0.0002525,-0.241754,-0.31283
0.000253,-0.15856,-0.374696
0.0002535,-0.074306,-0.436181
0.000254,0.010932,-0.497223
0.0002545,0.0970757,-0.557759
0.000255,0.184046,-0.617729
0.0002555,0.271763,-0.677071
0.000256,0.360148,-0.735726
0.0002565,0.449118,-0.793633
0.000257,0.538592,-0.850735
0.0002575,0.628489,-0.906973
0.000258,0.718726,-0.96229
0.0002585,0.809221,-1.01663
0.000259,0.89989,-1.06994
0.0002595,0.990651,-1.12216
0.00026,1.08142,-1.17325
0.0002605,1.17211,-1.22315
0.000261,1.26265,-1.2718
0.0002615,1.35295,-1.31917
0.000262,1.44292,-1.3652
0.0002625,1.53249,-1.40985
0.000263,1.62157,-1.45308
0.0002635,1.71008,-1.49483
0.000264,1.79794,-1.53507
0.0002645,1.88508,-1.57376
0.000265,1.9714,-1.61085
0.0002655,2.05683,-1.64632
0.000266,2.14129,-1.68013
0.0002665,2.22471,-1.71224
0.000267,2.30701,-1.74262
0.0002675,2.38811,-1.77125
0.000268,2.46794,-1.79809
0.0002685,2.54642,-1.82312
0.000269,2.62349,-1.84632
0.0002695,2.69907,-1.86766
0.00027,2.7731,-1.88711
0.0002705,2.84551,-1.90468
0.000271,2.91622,-1.92033
0.0002715,2.98518,-1.93405
0.000272,3.05232,-1.94584
0.0002725,3.11759,-1.95567
0.000273,3.18091,-1.96355
0.0002735,3.24224,-1.96946
0.000274,3.30151,-1.9734
0.0002745,3.35868,-1.97537
0.000275,3.41369,-1.97538
0.0002755,3.46648,-1.97341
0.000276,3.51702,-1.96948
0.0002765,3.56526,-1.96359
0.000277,3.61115,-1.95574
0.0002775,3.65464,-1.94596
0.000278,3.69571,-1.93425
0.0002785,3.7343,-1.92062
0.000279,3.7704,-1.9051
0.0002795,3.80395,-1.88769
0.00028,3.83494,-1.86842
0.0002805,3.86334,-1.84731
0.000281,3.88911,-1.82439
0.0002815,3.91224,-1.79968
0.000282,3.9327,-1.7732
0.0002825,3.95047,-1.74499
0.000283,3.96555,-1.71507
0.0002835,3.97791,-1.68349
0.000284,3.98754,-1.65027
0.0002845,3.99443,-1.61545
0.000285,3.99859,-1.57907
0.0002855,4,-1.54116
0.000286,3.99866,-1.50177
0.0002865,3.99458,-1.46094
0.000287,3.98776,-1.41872
0.0002875,3.9782,-1.37514
0.000288,3.96591,-1.33026
0.0002885,3.95091,-1.28411
0.000289,3.9332,-1.23676
0.0002895,3.91281,-1.18825
0.00029,3.88976,-1.13864
0.0002905,3.86406,-1.08797
0.000291,3.83573,-1.03629
0.0002915,3.80481,-0.983668
0.000292,3.77132,-0.930152
0.0002925,3.73529,-0.8758
0.000293,3.69676,-0.820667
0.0002935,3.65576,-0.764812
0.000294,3.61233,-0.708292
0.0002945,3.56651,-0.651166
0.000295,3.51834,-0.593494
0.0002955,3.46786,-0.535335
0.000296,3.41512,-0.476749
0.0002965,3.36017,-0.417797
0.000297,3.30306,-0.35854
0.0002975,3.24384,-0.299038
0.000298,3.18257,-0.239353
0.0002985,3.11929,-0.179545
0.000299,3.05408,-0.119676
0.0002995,2.98699,-0.0598075
0.0003,2.91808,4.85154e-13
0.0003005,2.84741,0.0596855
0.000301,2.77505,0.119188
0.0003015,2.70106,0.178449
0.000302,2.62552,0.237406
0.0003025,2.54849,0.296001
0.000303,2.47004,0.354174
0.0003035,2.39024,0.411868
0.000304,2.30918,0.469024
0.0003045,2.22691,0.525586
0.000305,2.14352,0.581496
0.0003055,2.05908,0.6367
0.000306,1.97368,0.691142
0.0003065,1.88738,0.744769
0.000307,1.80027,0.797527
0.0003075,1.71243,0.849365
0.000308,1.62393,0.900233
0.0003085,1.53487,0.95008
0.000309,1.44531,0.998857
0.0003095,1.35535,1.04652
0.00031,1.26506,1.09302
0.0003105,1.17452,1.13831
0.000311,1.08383,1.18235
0.0003115,0.993063,1.2251
0.000312,0.902301,1.26652
0.0003125,0.811628,1.30656
0.000313,0.721128,1.3452
0.0003135,0.630883,1.38239
0.000314,0.540976,1.4181
0.0003145,0.45149,1.4523
0.000315,0.362505,1.48496
0.0003155,0.274104,1.51604
0.000316,0.186368,1.54553
0.0003165,0.0993768,1.57339
0.000317,0.0132102,1.5996
0.0003175,-0.072053,1.62413
0.000318,-0.156335,1.64698
0.0003185,-0.239557,1.66811
0.000319,-0.321645,1.68752
0.0003195,-0.402523,1.70518
0.00032,-0.482117,1.72108
0.0003205,-0.560354,1.73522
0.000321,-0.637162,1.74758
0.0003215,-0.712471,1.75816
0.000322,-0.786212,1.76695
0.0003225,-0.858318,1.77394
0.000323,-0.928722,1.77914
0.0003235,-0.997361,1.78255
0.000324,-1.06417,1.78416
0.0003245,-1.12909,1.78398
0.000325,-1.19206,1.78201
0.0003255,-1.25302,1.77827
0.000326,-1.31192,1.77277
0.0003265,-1.36871,1.76551
0.000327,-1.42332,1.7565
0.0003275,-1.47572,1.74577
0.000328,-1.52585,1.73333
0.0003285,-1.57367,1.71919
0.000329,-1.61913,1.70338
0.0003295,-1.66219,1.68592
0.00033,-1.70281,1.66683
0.0003305,-1.74096,1.64614
0.000331,-1.7766,1.62388
0.0003315,-1.8097,1.60006
0.000332,-1.84023,1.57473
0.0003325,-1.86815,1.54791
0.000333,-1.89345,1.51964
0.0003335,-1.9161,1.48995
0.000334,-1.93608,1.45887
0.0003345,-1.95338,1.42644
0.000335,-1.96796,1.39271
0.0003355,-1.97983,1.35771
0.000336,-1.98898,1.32147
0.0003365,-1.99538,1.28405
0.000337,-1.99904,1.24548
0.0003375,-1.99996,1.20582
0.000338,-1.99813,1.16509
0.0003385,-1.99356,1.12336
0.000339,-1.98624,1.08066
0.0003395,-1.97619,1.03705
0.00034,-1.96342,0.992567
0.0003405,-1.94793,0.947268
0.000341,-1.92974,0.901201
0.0003415,-1.90887,0.854416
0.000342,-1.88534,0.806964
0.0003425,-1.85917,0.758897
0.000343,-1.83037,0.710267
0.0003435,-1.79899,0.661125
0.000344,-1.76504,0.611525
0.0003445,-1.72857,0.561521
0.000345,-1.68959,0.511164
0.0003455,-1.64815,0.460509
0.000346,-1.60429,0.409608
0.0003465,-1.55804,0.358517
0.000347,-1.50945,0.307287
0.0003475,-1.45856,0.255974
0.000348,-1.40542,0.204629
0.0003485,-1.35008,0.153306
0.000349,-1.29259,0.102059
0.0003495,-1.233,0.0509394
0.00035,-1.17136,-5.33215e-13
0.0003505,-1.10774,-0.0507074
0.000351,-1.04218,-0.101131
0.0003515,-0.974757,-0.151221
0.000352,-0.905525,-0.200926
0.0003525,-0.834548,-0.250196
0.000353,-0.761891,-0.298984
0.0003535,-0.687622,-0.347239
0.000354,-0.611807,-0.394915
0.0003545,-0.534516,-0.441965
0.000355,-0.455821,-0.488343
0.0003555,-0.375792,-0.534004
0.000356,-0.294504,-0.578904
0.0003565,-0.212031,-0.623001
0.000357,-0.128448,-0.666252
0.0003575,-0.0438314,-0.708616
0.000358,0.0417406,-0.750054
0.0003585,0.12819,-0.790528
0.000359,0.215438,-0.829999
0.0003595,0.303404,-0.868432
0.00036,0.392007,-0.905793
0.0003605,0.481168,-0.942047
0.000361,0.570803,-0.977162
0.0003615,0.660832,-1.01111
0.000362,0.75117,-1.04386
0.0003625,0.841737,-1.07538
0.000363,0.932449,-1.10564
0.0003635,1.02322,-1.13463
0.000364,1.11397,-1.16232
0.0003645,1.20462,-1.18869
0.000365,1.29508,-1.21371
0.0003655,1.38527,-1.23736
0.000366,1.47511,-1.25964
0.0003665,1.56451,-1.28052
0.000367,1.6534,-1.29999
0.0003675,1.74169,-1.31803
0.000368,1.8293,-1.33464
0.0003685,1.91614,-1.34981
0.000369,2.00215,-1.36353
0.0003695,2.08725,-1.37579
0.00037,2.17135,-1.38658
0.0003705,2.25437,-1.39591
0.000371,2.33625,-1.40377
0.0003715,2.4169,-1.41017
0.000372,2.49625,-1.4151
0.0003725,2.57424,-1.41857
0.000373,2.65078,-1.42058
0.0003735,2.72582,-1.42114
0.000374,2.79927,-1.42026
0.0003745,2.87108,-1.41795
0.000375,2.94117,-1.41421
0.0003755,3.00948,-1.40907
0.000376,3.07596,-1.40253
0.0003765,3.14053,-1.39461
0.000377,3.20315,-1.38532
